date,product,region,units_sold,price,revenue,social_sentiment
2024-10-20 23:14:37.721278,iPhone_2,APAC,514,1099,564886,4.155322873439327
2024-10-20 23:14:37.721278,iPhone_4,China,493,1199,591107,3.209982637707899
2024-10-20 23:14:37.721278,iPhone_1,US,504,999,503496,3.5455729413616632
2024-10-20 23:14:37.721278,iPhone_2,US,496,1099,545104,3.1312559906714807
2024-10-20 23:14:37.721278,iPhone_1,Other,485,1099,533015,4.094775157388491
2024-10-20 23:14:37.721278,iPhone_1,APAC,532,1299,691068,3.5321921848190962
2024-10-20 23:14:37.721278,iPhone_3,China,454,1299,589746,3.058381680988936
2024-10-20 23:14:37.721278,iPhone_3,Other,528,1299,685872,3.255333269964611
2024-10-20 23:14:37.721278,iPhone_0,Other,486,799,388314,3.468292469354561
2024-10-20 23:14:37.721278,iPhone_0,China,482,1299,626118,4.506756370517883
2024-10-20 23:14:37.721278,iPhone_3,US,500,1099,549500,3.179422752106068
2024-10-20 23:14:37.721278,iPhone_4,APAC,517,1099,568183,3.2284969065161127
2024-10-20 23:14:37.721278,iPhone_2,Other,481,1299,624819,3.9618120015061393
2024-10-20 23:14:37.721278,iPhone_3,Other,510,999,509490,4.162968576409283
2024-10-20 23:14:37.721278,iPhone_2,China,501,799,400299,3.1263427384194626
2024-10-20 23:14:37.721278,iPhone_4,Other,460,1199,551540,3.9318277210351766
2024-10-20 23:14:37.721278,iPhone_2,US,514,999,513486,4.900352675810753
2024-10-20 23:14:37.721278,iPhone_4,China,468,999,467532,4.027966330129419
2024-10-20 23:14:37.721278,iPhone_2,EU,494,1099,542906,3.3154812316085156
2024-10-20 23:14:37.721278,iPhone_4,EU,527,1099,579173,4.117183461711289
2024-10-20 23:14:37.721278,iPhone_1,Other,533,999,532467,4.374287657699872
2024-10-20 23:14:37.721278,iPhone_4,Other,522,1099,573678,3.912058607197352
2024-10-20 23:14:37.721278,iPhone_2,US,469,799,374731,3.656762455770162
2024-10-20 23:14:37.721278,iPhone_3,US,498,1299,646902,3.353154403129969
2024-10-20 23:14:37.721278,iPhone_0,China,504,999,503496,3.4035991626843805
2024-10-20 23:14:37.721278,iPhone_1,US,526,1099,578074,3.4166847286860955
2024-10-20 23:14:37.721278,iPhone_4,Other,490,799,391510,4.402357436708542
2024-10-20 23:14:37.721278,iPhone_2,EU,508,799,405892,3.1502755634716175
2024-10-20 23:14:37.721278,iPhone_4,Other,483,1199,579117,3.170480595592308
2024-10-20 23:14:37.721278,iPhone_4,APAC,464,999,463536,4.700230531512696
2024-10-21 23:14:37.721277,iPhone_0,Other,533,1099,585767,4.062309244860151
2024-10-21 23:14:37.721277,iPhone_2,APAC,514,1199,616286,3.727736921244637
2024-10-21 23:14:37.721277,iPhone_0,EU,549,1099,603351,3.282504204639328
2024-10-21 23:14:37.721277,iPhone_1,US,523,1099,574777,3.6055502565439346
